q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,2,250,5,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,8,7,No,,,No,Yes
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,7,200,2,High,Gauteng,Johannesburg,.,true,.,.,.,.,,6,3,Yes,80,140,Yes,Yes
I consent,Female,White,50 years and above,R5000-R9999,Everyday,Once per week,20,250,10,Medium,Gauteng,Pretoria,.,.,.,.,true,.,,6,6,No,,,Yes,No
I consent,Female,White,30-39 years,R15 000- R19 999,Once per month (or less),Once per month (or less),1,1000,5,High,Gauteng,Pretoria,true,.,.,.,.,.,,1,More than 30 days,Yes,100,250,Yes,No
I consent,Female,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,6,50,2.5,High,Gauteng,Pretoria,.,true,.,.,.,.,,10,2,Yes,,75,Yes,No
I consent,Male,Indian,20-29 years,R1000- R4999,2-3 times per week,Once per week,8,500,3,High,Gauteng,Courier,.,.,.,.,.,true,,5,3,No,,,No,No
I consent,Female,White,50 years and above,R10 000- R14 999,Everyday,Once per month (or less),20,500,10,High,Gauteng,Newtown,.,.,.,.,true,.,,10,More than 30 days,Yes,20,110,No,.
I consent,Female,White,50 years and above,R15 000- R19 999,2-3 times per week,I do not wish to disclose this information,20,200,3.5,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,7,20,Yes,30,100,Yes,No
I consent,Female,Coloured,20-29 years,R15 000- R19 999,Once per week,Once per month (or less),6,250,5,Medium,Gauteng,Roodepoort,.,.,.,.,true,.,,5,30,No,,,No,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,2-3 times per week,19,1500,10,High,Gauteng,Johannesburg,.,.,.,.,true,.,,7,3,No,,,No,No
I consent,Female,White,50 years and above,R30 000 and above,Once per week,Once per month (or less),20,600,10,Medium,Gauteng,Edenvale,.,true,.,.,.,.,,10,30,Yes,50,110,Yes,No
I consent,Male,African,20-29 years,R25 000- R29 999,2-3 times per week,Once per month (or less),5,100,50,High,Gauteng,Pretoria,true,.,.,.,.,.,,8,13,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per month (or less),9,200,8,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,6,17,Yes,10.125,120,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),8,1000,50,High,Gauteng,Pretoria,.,true,.,.,.,.,,3,More than 30 days,Yes,10,91.666664,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Everyday,6,50,4,Medium,Gauteng,Centurion,.,.,true,.,.,.,,8,1,No,,,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,5,150,2,Medium,Gauteng,Johannesburg,.,.,.,.,.,true,,7,4,No,,,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,Once per month (or less),2,300,10,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,9,30,No,,,Yes,No
I consent,Female,White,30-39 years,R25 000- R29 999,Once per month (or less),Once per month (or less),15,120,1,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,6,Yes,65,150,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,3,500,15,High,Gauteng,Pta,.,true,.,.,.,.,,1,15,Yes,17.5,50,Yes,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per month,9,700,100,High,Gauteng,Sebokeng,.,true,.,.,.,.,,10,14,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,4,100,20,Medium,Gauteng,Vanderbijlpark,.,.,.,.,.,true,,5,5,Yes,,20,Yes,No
I consent,Female,White,30-39 years,R10 000- R14 999,Everyday,I do not wish to disclose this information,14,1000,1000,Low,Gauteng,Jhb,.,true,.,.,.,.,,10,More than 30 days,Yes,,11,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,5,900,15,Medium,Gauteng,Johannesburg,.,.,.,.,.,true,,10,14,Yes,15,120,No,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,1,100,20,Medium,Gauteng,.,.,true,.,.,.,.,,10,4,No,,,No,No
I consent,Male,African,20-29 years,R10 000- R14 999,2-3 times per week,Once per week,5,50,1,Medium,Gauteng,Johannesburg/Midrand,true,.,.,.,.,.,,10,2,No,,,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per week,Once per month (or less),5,800,10,High,Gauteng,Jhb,true,.,.,.,.,.,,2,30,Yes,55,200,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Once per week,Once per month (or less),3,300,10,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,9,30,Yes,19.625,200,No,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,2-3 times per month,20,500,16,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,4,14,No,,,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),1,1000,10,High,Gauteng,Centurion,.,true,.,.,.,.,,10,More than 30 days,Yes,50,120,Yes,No
I consent,Male,African,20-29 years,R1000- R4999,Once per month (or less),Once per month (or less),7,20,5,Low,Gauteng,Soweto,.,true,.,.,.,.,,10,4,Yes,,8,No,No
I consent,Male,White,30-39 years,R30 000 and above,Once per week,Once per month (or less),20,2000,20,High,Gauteng,Joburg,true,.,.,.,.,.,,2,More than 30 days,No,,,No,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),Everyday,Once per month (or less),2,300,20,Medium,Gauteng,Johannesburg,.,.,.,.,true,.,,10,20,No,,45,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per week,2-3 times per month,8,600,4,High,Gauteng,Johannesburg,.,true,.,.,.,.,,6,10,Yes,120,180,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,5,50,3,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,1,2,No,,,No,No
I consent,Male,White,.,R20 000- R24 999,Everyday,.,1,800,500,High,Gauteng,Alberton,.,true,.,.,.,.,,6,30,Yes,,,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,Once per month (or less),4,2000,75,High,Gauteng,N.a.,.,true,.,.,.,.,,4,30,Yes,10,100,Yes,No
I consent,Female,Indian,20-29 years,R25 000- R29 999,Once per week,Once per month (or less),1,500,1000,Medium,Gauteng,johannesburg,true,.,.,.,.,.,,10,30,Yes,,53.333332,Yes,No
I consent,Male,White,30-39 years,R5000-R9999,Everyday,2-3 times per week,12,700,300,Medium,Gauteng,Boksburg,true,.,.,.,.,.,,10,30,Yes,1,87.5,No,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,2-3 times per month,6,390,6,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,14,Yes,27.5,150,No,No
I consent,Male,Indian,30-39 years,R5000-R9999,Everyday,Once per month (or less),5,2500,100,High,Gauteng,Johannesburg,.,.,.,.,true,.,,2,25,Yes,14,266.66666,No,No
I consent,Male,White,40-49 years,R15 000- R19 999,2-3 times per week,Once per month (or less),1,100,150,Low,KwaZulu-Natal,Edendale,.,.,.,.,true,.,,10,More than 30 days,Yes,,58.75,No,No
I consent,Female,Indian,20-29 years,R30 000 and above,2-3 times per week,Once per month (or less),2,100,3,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,3,10,No,,,No,No
I consent,Female,Coloured,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,130,10,Medium,KwaZulu-Natal,Pietermaritzburg,.,true,.,.,.,.,,9,8,No,,,Yes,No
I consent,Male,Indian,30-39 years,R20 000- R24 999,.,Everyday,14,1800,30,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,30,Yes,30,113.33334,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,10,200,10,Low,KwaZulu-Natal,Richards Bay,true,.,.,.,.,.,,2,14,Yes,10,75,Yes,No
I consent,Male,White,20-29 years,R30 000 and above,2-3 times per week,Once per month (or less),7,600,5,High,KwaZulu-Natal,Will not disclose,.,.,.,.,.,true,,8,21,Yes,100,165,Yes,No
I consent,Male,Indian,20-29 years,R30 000 and above,Everyday,2-3 times per week,5,640,4,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,3,Yes,105,200,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,8,350,50,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,8,20,Yes,,45,No,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,4,250,5,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,7,7,Yes,25,85,No,No
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,1,350,15,High,KwaZulu-Natal,Durban,.,.,.,.,true,.,,6,More than 30 days,No,,,No,No
I consent,Male,Indian,20-29 years,R5000-R9999,Once per month (or less),Once per month (or less),10,60,5,Medium,KwaZulu-Natal,Ladysmith,true,.,.,.,.,.,,7,10,Yes,5,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,100,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,7,6,No,,,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),2-3 times per week,2-3 times per week,3,50,2,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,6,1,Yes,4,65,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Once per week,7,100,5,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,7,Yes,10,40,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,Once per week,2,200,4,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,9,6,No,,,Yes,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,2-3 times per month,20,1800,770,High,KwaZulu-Natal,Stanger,.,.,.,true,.,.,,7,More than 30 days,Yes,2,35,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,2-3 times per week,Once per month (or less),15,200,2,High,KwaZulu-Natal,Pietermaritzburg,true,.,.,.,.,.,,6,More than 30 days,No,,,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,6,200,2.5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,7,Yes,50,100,No,No
I consent,Female,White,40-49 years,R5000-R9999,Everyday,Once per month (or less),20,500,1000,Medium,KwaZulu-Natal,Durban,.,.,true,.,.,.,,10,More than 30 days,Yes,,150,No,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per month,Once per month (or less),3,210,2,High,KwaZulu-Natal,South Coast KZN,.,true,.,.,.,.,,8,7,Yes,45,120,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,5,100,5,Medium,KwaZulu-Natal,durban,true,.,.,.,.,.,,6,4,Yes,15,55,Yes,No
I consent,Female,Other,20-29 years,R25 000- R29 999,Everyday,Once per week,8,300,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,10,Yes,25,95,Yes,No
I consent,Male,White,40-49 years,R15 000- R19 999,Everyday,Everyday,20,50,1,High,KwaZulu-Natal,Isipingo,true,.,.,.,.,.,,6,1,Yes,10,,Yes,No
I consent,Male,White,50 years and above,R10 000- R14 999,Everyday,Once per month (or less),20,350,50,Medium,KwaZulu-Natal,Durban,.,.,.,.,.,true,,7,30,No,,,Yes,No
I consent,Male,White,30-39 years,R25 000- R29 999,2-3 times per week,Once per month (or less),15,200,2,High,KwaZulu-Natal,Ballito,true,.,.,.,.,.,,10,30,No,,,Yes,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,2-3 times per month,1,400,8,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,5,12,Yes,29.166666,70,Yes,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,6,700,25,Medium,KwaZulu-Natal,Pietermaritzburg,.,.,.,.,true,.,,5,29,Yes,10,90,Yes,No
I consent,Male,Asian,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,9,1600,13,High,KwaZulu-Natal,Richards bay,.,true,.,.,.,.,,10,17,Yes,82.5,160,I do not wish to disclose this information,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,Once per month (or less),15,4000,300,Medium,KwaZulu-Natal,Nope,true,.,.,.,.,.,,10,21,Yes,10,65,No,No
I consent,Male,I would prefer to not answer,20-29 years,R10 000- R14 999,Everyday,Once per week,5,500,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,5,7,Yes,21.666666,150,No,I do not wish to disclose this information
I consent,Male,Indian,< 20 years (younger than 20 years),R15 000- R19 999,Once per month (or less),Once per month (or less),4,5000,700,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,9,More than 30 days,No,,,No,No
I consent,I would prefer not to answer,African,20-29 years,R5000-R9999,Everyday,2-3 times per month,4,200,15,Medium,KwaZulu-Natal,.,true,.,.,.,.,.,,6,7,Yes,11,60,No,No
I consent,Male,African,30-39 years,R25 000- R29 999,Once per month (or less),Once per month (or less),13,50,5,Medium,KwaZulu-Natal,Pietermaritzburg,.,.,.,.,true,.,,10,1,Yes,4,80,No,Yes
I consent,Female,White,40-49 years,R10 000- R14 999,Everyday,Once per week,16,800,7,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,5,No,,,No,No
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per month,Once per month (or less),3,500,100,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,6,More than 30 days,No,,,Yes,No
I consent,Male,African,20-29 years,R5000-R9999,Everyday,Once per week,3,60,2,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,5,Yes,20,60,Yes,No
I consent,Male,White,50 years and above,R10 000- R14 999,Everyday,Once per week,19,300,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,4,7,No,,,No,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,Once per month (or less),12,1000,80,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,9,24,No,,,Yes,No
I consent,Male,Indian,30-39 years,R30 000 and above,Everyday,Once per week,15,750,10,High,KwaZulu-Natal,La Lucia,.,true,.,.,.,.,,5,5,Yes,25,95,Yes,I do not wish to disclose this information
I consent,Male,Indian,20-29 years,< R1000 (less than R1000),2-3 times per week,2-3 times per month,6,60,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,4,14,No,,,No,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,6,100,3,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,8,8,Yes,25,85,Yes,No
I consent,Female,White,40-49 years,R10 000- R14 999,2-3 times per month,Once per month (or less),1,700,7,High,KwaZulu-Natal,Purchased online,.,true,.,.,.,.,,4,21,,60,150,No,No
I consent,Female,White,50 years and above,R20 000- R24 999,Everyday,Once per month (or less),1,3000,5000,High,KwaZulu-Natal,.,.,.,.,.,.,.,,10,More than 30 days,Yes,,100,No,.
I consent,Female,White,30-39 years,R10 000- R14 999,Everyday,Once per week,18,100,4,Medium,KwaZulu-Natal,Durban,.,.,.,.,true,.,,8,1,Yes,10,87.5,Yes,No
I consent,Male,White,20-29 years,R20 000- R24 999,Everyday,2-3 times per week,10,150,2,High,KwaZulu-Natal,Ballito,.,true,.,.,.,.,,10,2,Yes,50,100,No,No
I consent,Male,Indian,< 20 years (younger than 20 years),R1000- R4999,Everyday,2-3 times per week,3,300,6,Medium,KwaZulu-Natal,Stanger,true,.,.,.,.,.,,9,3,Yes,8.333333,145,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,4,560,5,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,10,Yes,100,190,Yes,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,2-3 times per month,2,200,4,Low,KwaZulu-Natal,Margate,.,true,.,.,.,.,,10,5,Yes,15,180,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,Once per week,3,200,25,Medium,KwaZulu-Natal,Richardsbay,.,.,.,.,true,.,,9,5,No,,,No,No
I consent,Male,Indian,30-39 years,R20 000- R24 999,Everyday,Once per month (or less),3,600,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,5,30,Yes,,150,No,No
I consent,Female,White,40-49 years,R20 000- R24 999,Once per week,Once per month (or less),20,300,3,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,2,More than 30 days,Yes,41.666668,160,Yes,No
I consent,I would prefer not to answer,White,40-49 years,< R1000 (less than R1000),Once per week,2-3 times per month,2,400,150,Medium,KwaZulu-Natal,Port Shepstone,.,true,.,.,.,.,,2,25,No,,,Yes,No
I consent,Male,African,20-29 years,R15 000- R19 999,2-3 times per week,Once per week,12,50,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,3,No,,,No,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,Once per month (or less),1,3000,25,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,More than 30 days,No,,,No,No
I consent,Male,Coloured,< 20 years (younger than 20 years),< R1000 (less than R1000),Once per month (or less),.,5,100,10,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,4,Yes,8,78.333336,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,2-3 times per month,8,200,8,Medium,KwaZulu-Natal,Hillcrest,.,.,.,.,true,.,,8,9,Yes,10,109,No,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,6,150,1,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,7,Yes,68,185,No,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,7,300,10,Low,KwaZulu-Natal,Durban,.,true,.,.,.,.,,5,7,No,,,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,Once per week,16,400,10,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,4,4,Yes,30,90,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per week,15,400,4,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,7,Yes,41.25,140,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,10,100,2,Medium,KwaZulu-Natal,umgababa,.,.,.,true,.,.,,8,10,Yes,20,95,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,Once per week,7,300,5,Medium,KwaZulu-Natal,Ballito,.,true,.,.,.,.,,10,5,Yes,32.5,110,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Everyday,4,405,3,High,KwaZulu-Natal,Hillcrest,.,true,.,.,.,.,,10,1,No,,,Yes,No
I consent,Male,Indian,20-29 years,R25 000- R29 999,2-3 times per week,2-3 times per month,16,100,5,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,2,14,Yes,12,50,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,5,200,20,Medium,KwaZulu-Natal,Richards-bay,.,true,.,.,.,.,,10,5,Yes,,25,Yes,Yes
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),15,500,10,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,7,More than 30 days,No,,,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per week,20,4000,33,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,7,Yes,60,150,No,No
I consent,Male,Coloured,20-29 years,R30 000 and above,Everyday,2-3 times per week,7,700,14,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,2,Yes,30,120,No,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Once per week,Once per month (or less),1,250,5,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,8,21,Yes,30,100,No,Yes
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),10,3000,40,High,KwaZulu-Natal,Durban and Pretoria,.,.,.,.,.,true,,8,30,Yes,45,140,No,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),12,700,20,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,5,More than 30 days,Yes,12.5,90,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),7,1000,30,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,1,30,No,,,Yes,No
I consent,Male,Indian,20-29 years,R5000-R9999,Everyday,2-3 times per month,3,50,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,8,4,No,,,No,No
I consent,Male,Indian,20-29 years,R10 000- R14 999,Everyday,I do not wish to disclose this information,10,2000,20,High,KwaZulu-Natal,Pietermaritzburg,.,.,.,.,.,true,,1,More than 30 days,Yes,67.5,120,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,2,500,50,High,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,9,Yes,,85,No,Yes
I consent,I would prefer not to answer,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,2-3 times per week,11,50,2,Medium,KwaZulu-Natal,Howick,.,true,.,.,.,.,,5,2,Yes,18.75,85,No,No
I consent,Male,White,50 years and above,R30 000 and above,Everyday,Once per month (or less),19,1000,50,Medium,KwaZulu-Natal,Port edward,true,.,.,.,.,.,,9,25,No,,,Yes,No
I consent,Male,Indian,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,2-3 times per week,4,100,5,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,1,5,Yes,,150,No,No
I consent,Male,I would prefer to not answer,30-39 years,R10 000- R14 999,Everyday,Once per week,14,600,6,High,KwaZulu-Natal,Pietermaritzburg,.,.,.,.,.,true,,10,7,Yes,46.666668,150,No,No
I consent,Male,African,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),11,30,20,Low,KwaZulu-Natal,Durban,.,true,.,.,.,.,,3,10,Yes,1,5.5,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per week,7,100,1,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,5,2,Yes,10,143.33333,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,10,200,6,Medium,KwaZulu-Natal,Richardsbay,.,true,.,.,.,.,,10,7,Yes,15,100,Yes,Yes
I consent,Male,Indian,30-39 years,R10 000- R14 999,Everyday,2-3 times per week,13,300,3,High,KwaZulu-Natal,Pietermaritzburg,.,.,.,.,true,.,,7,5,Yes,50,200,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,100,1,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,9,2,Yes,50,150,I do not wish to disclose this information,No
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,4,300,10,High,KwaZulu-Natal,Durban Area,.,true,.,.,.,.,,7,17,Yes,20.5,,Yes,No
I consent,Female,White,40-49 years,R10 000- R14 999,Everyday,2-3 times per month,10,800,800,Medium,KwaZulu-Natal,Durban,.,.,true,.,.,.,,8,25,Yes,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,4,300,16,Medium,KwaZulu-Natal,Pinetown,true,.,.,.,.,.,,7,12,No,,,No,No
I consent,Female,White,< 20 years (younger than 20 years),R1000- R4999,Everyday,Once per week,5,150,3,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,5,Yes,12.5,70,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,2-3 times per week,2-3 times per month,3,300,20,Medium,KwaZulu-Natal,No comment,.,true,.,.,.,.,,10,.,Yes,,,I do not wish to disclose this information,I do not wish to disclose this information
I consent,Female,White,40-49 years,R10 000- R14 999,2-3 times per week,Once per month (or less),2,4800,800,High,KwaZulu-Natal,Hibberdene,.,.,.,.,.,true,,9,More than 30 days,No,,,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,2-3 times per week,3,100,3,Medium,KwaZulu-Natal,Pietermaritzburg,true,.,.,.,.,.,,10,5,Yes,12.5,60,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),7,2500,100,High,KwaZulu-Natal,Durban,.,.,.,.,.,true,,10,30,Yes,10,100,No,I do not wish to disclose this information
I consent,Male,White,20-29 years,R10 000- R14 999,Once per week,Once per month (or less),8,150,2,Medium,KwaZulu-Natal,Pietermaritzburg,.,.,.,.,true,.,,6,2,Yes,50,135,No,No
I consent,Male,Indian,20-29 years,R5000-R9999,Everyday,Everyday,15,30,2,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,9,1,Yes,7.5,60,Yes,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,Everyday,8,500,20,Medium,KwaZulu-Natal,Durban,.,.,.,.,true,.,,9,2,Yes,,,Yes,No
I consent,Male,White,50 years and above,R25 000- R29 999,2-3 times per month,Once per month (or less),4,50,10,Low,KwaZulu-Natal,Durban,.,.,true,.,.,.,,2,10,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per month (or less),10,600,30,High,KwaZulu-Natal,Durban,.,.,.,.,.,true,,5,30,Yes,10,130,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per week,1,120,2,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,9,2,Yes,50,200,No,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),14,400,12.5,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,30,Yes,20,40,No,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,2-3 times per month,10,1000,40,High,KwaZulu-Natal,Durban,.,.,.,.,.,true,,6,28,Yes,12.75,66.666664,Yes,No
I consent,Male,Indian,30-39 years,R10 000- R14 999,2-3 times per week,Once per month (or less),7,200,3,Medium,KwaZulu-Natal,durban,.,.,.,.,true,.,,1,3,No,,,Yes,No
I consent,Female,White,40-49 years,R1000- R4999,Everyday,Once per month (or less),20,500,10,Medium,KwaZulu-Natal,Pietermaritzburg,true,.,.,.,.,.,,5,14,Yes,21.666666,90,No,No
I consent,Male,Indian,20-29 years,< R1000 (less than R1000),Once per month (or less),Once per month (or less),2,100,5,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,6,7,No,,,Yes,No
I consent,Male,African,20-29 years,R30 000 and above,Everyday,Once per week,9,50,10,Low,KwaZulu-Natal,durban,true,.,.,.,.,.,,10,7,Yes,2,30,No,No
I consent,Female,White,< 20 years (younger than 20 years),R25 000- R29 999,Everyday,2-3 times per week,2,30,1,Medium,KwaZulu-Natal,Durban,.,true,.,.,.,.,,10,1,Yes,10,50,No,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,2,100,10,Medium,KwaZulu-Natal,pmb,true,.,.,.,.,.,,4,3,Yes,,50,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,Everyday,2,100,5,High,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,1,Yes,5,85,No,No
I consent,Female,African,20-29 years,R1000- R4999,Everyday,Once per week,9,150,10,Medium,KwaZulu-Natal,Durban,true,.,.,.,.,.,,10,7,Yes,,110,Yes,No
